N_cutoff_d,N_cutoff_Eh,E_start,n,omega_0,E_0,U_p,E_cutoff_d,E_cutoff_Eh,I_p,E_classic,N_classic,I_p/U_p
,,a. u.,,a. u.,a. u.,a. u.,a. u.,a. u.,a. u.,,,
,49,0.499999978,10,0.06,0.1,0.694444444,--,2.94,0.499999978,2.86138886,47.68981433,0.719999968
17,17,0.499999978,10,0.06,0.04,0.111111111,1.02,1.02,0.499999978,1.012222193,16.87036988,4.499999801
21,21,0.499999978,10,0.06,0.05,0.173611111,1.26,1.26,0.499999978,1.210347193,20.17245322,2.879999873
21,21,0.499999978,10,0.06,0.06,0.25,1.26,1.26,0.499999978,1.452499971,24.20833285,1.999999912
,41,0.499999978,10,0.06,0.09,0.5625,--,2.46,0.499999978,2.443124971,40.71874951,0.88888885
,51,0.499999978,10,0.06,0.11,0.840277778,--,3.06,0.499999978,3.323680526,55.39467544,0.595041296
,59,0.499999978,10,0.06,0.12,1,--,3.54,0.499999978,3.829999971,63.83333285,0.499999978
13,13,0.499999978,10,0.06,0.0268,0.049877778,0.78,0.78,0.499999978,0.818112526,13.63520877,10.0245039
11,17,0.232903324,10,0.06,0.046,0.146944444,0.66,1.02,0.499999978,1.12581386,18.76356433,1.584975362
11,9,0.084777901,10,0.06,0.031,0.066736111,0.66,0.54,0.499999978,0.871553443,14.52589072,1.270345238
15,17,0.084777901,10,0.06,0.041,0.116736111,0.9,1.02,0.499999978,1.030053443,17.16755738,0.72623544
14,17,0.084777901,10,0.06,0.046,0.146944444,0.84,1.02,0.499999978,1.12581386,18.76356433,0.576938457
9,,0.084777901,10,0.06,0.0268,0.049877778,0.54,--,0.499999978,0.818112526,13.63520877,1.699712873
7,,0.042818607,10,0.06,0.028,0.054444444,0.42,--,0.499999978,0.83258886,13.87648099,0.786464212
9,,0.042818607,10,0.06,0.038,0.100277778,0.54,--,0.499999978,0.977880526,16.29800877,0.42699996
13,11,0.032740226,10,0.06,0.038,0.100277778,0.78,0.66,0.499999978,0.977880526,16.29800877,0.326495331
13,13,0.032740226,10,0.06,0.043,0.128402778,0.78,0.78,0.499999978,1.067036776,17.78394627,0.25498067
13,15,0.025658134,10,0.06,0.038,0.100277778,0.78,0.9,0.499999978,0.977880526,16.29800877,0.255870584
15,19,0.025658134,10,0.06,0.045,0.140625,0.9,1.14,0.499999978,1.105781221,18.42968701,0.182457839
17,21,0.025658134,10,0.06,0.055,0.210069444,1.02,1.26,0.499999978,1.32592011,22.09866849,0.122141198
15,27,0.025658134,8,0.06,0.065,0.293402778,0.9,1.62,0.499999978,1.590086776,26.50144627,0.087450207
